ID,SMILES
4353,COc1ccc(C2=Nc3cccc4[n+]3[B-](F)(O2)OC(c2ccc(OC)cc2)=N4)cc1
4366,Cc1cc(C2=Cc3cccc[n+]3[B-](F)(F)O2)ccc1N(C)C
2319,CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1
2320,CCN(CC)c1ccc2cc(/C=C/C3=C4CC/C(=C\c5cc6ccc(N(CC)CC)cc6oc5=O)C4=[O+][B-](F)(F)O3)c(=O)oc2c1
4367,F[B-]1(F)OC(c2ccc(N3CCCCC3)cc2)=Cc2cccc[n+]21
4368,CN1CCc2cc(C3=Cc4cccc[n+]4[B-](F)(F)O3)ccc21
4369,F[B-]1(F)OC(c2ccc(N3CCCC3)cc2)=Cc2cccc[n+]21
4370,CN1CCCc2cc(C3=Cc4cccc[n+]4[B-](F)(F)O3)ccc21
4371,F[B-]1(F)OC(c2cc3c4c(c2)CCCN4CCC3)=Cc2cccc[n+]21
284,F[B-]1(F)OC(c2ccc3c(c2)Cc2ccccc2-3)=CC(c2ccccc2)=[O+]1
285,COc1ccc(C2=[O+][B-](F)(F)OC(c3ccc4c(c3)Cc3ccccc3-4)=C2)cc1
4399,F[B-]1(F)Oc2c(ccc3c4c(ccc23)C=[N+](c2ccccc2)[B-](F)(F)O4)C=[N+]1c1ccccc1
4401,Fc1cccc(F)c1[B-]1(c2c(F)cccc2F)Oc2c(ccc3c4c(ccc23)C=[N+](c2ccccc2)[B-](c2c(F)cccc2F)(c2c(F)cccc2F)O4)C=[N+]1c1ccccc1
4402,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)Oc3c(ccc4c5c(ccc34)C=[N+](c3ccccc3)[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)O5)C=[N+]2c2ccccc2)c(F)c1F
4405,O=[N+]([O-])c1ccc([N+]2=Cc3ccc4c5c(ccc4c3O[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C=[N+](c2ccc([N+](=O)[O-])cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O5)cc1
