,ID,SMILES
106,106,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9
107,107,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9
108,108,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC=C(C(C)(C)C)C=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC=C(C(C)(C)C)C=C8)=C6C9=CC=C(OC)C=C9
109,109,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11
110,110,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11
111,111,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=CC(C(C)(C)C)=C3)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC=C(C(C)(C)C)C=C9%10)=C7C%11=C%10C=C(OC)C=C%11
112,112,C12=CC=CC=C1NB3C4=C2C=CC=C4C(C=CC=C5)=C5N3
113,113,CCCCCCN1B2C(C(C(C=CC=C3)=C3N2CCCCCC)=CC=C4)=C4C5=CC=CC=C51
114,114,C12=CC=C(C3=C(C(C(C=CC4=C5C=CC=C4)=C5N6)=CC=C3)B6N7)C7=C1C=CC=C2
115,115,CCCCCCN1B2C(C(C(C=C(C3=CC=CC=C3)C=C4)=C4N2CCCCCC)=CC=C5)=C5C6=CC(C7=CC=CC=C7)=CC=C61
116,116,CCCCCCN1B2C(C(C(C=C(C3=CC=CS3)C=C4)=C4N2CCCCCC)=CC=C5)=C5C6=CC(C7=CC=CS7)=CC=C61
117,117,CCCCCCN1B2C(C(C(C=CC=C3)=C3N2CCCCCC)=CC=C4)=C4C5=CC(N(CCCCCC)B6C7=C8C=CC=C7C(C=CC=C9)=C9N6CCCCCC)=C8C=C51
118,118,C12=CC=CC=C1NB(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=C2
119,119,CC(C=C1)=CC=C1C2=C(C3=CC=C(C)C=C3)C(C=CC=C4)=C4B5C2=CC6=CC=CC=C6N5
120,120,FC(C=C1)=CC=C1C2=C(C3=CC=C(F)C=C3)C4=CC5=CC=CC=C5NB4C6=C2C=CC=C6
121,121,FC(C(C=C1)=CC=C1C2=C(C3=CC=C(C(F)(F)F)C=C3)C(C=CC=C4)=C4B5C2=CC6=CC=CC=C6N5)(F)F
122,122,CCCCC1=C(CCCC)C2=CC3=CC=CC=C3NB2C4=C1C=CC=C4
123,123,CC(C=C1)=CC2=C1B3C(C(C4=CC=CC=C4)=C2C5=CC=CC=C5)=CC6=CC=CC=C6N3
124,124,FC(C=C1)=CC2=C1B3C(C(C4=CC=CC=C4)=C2C5=CC=CC=C5)=CC6=CC=CC=C6N3
125,125,C12=CC=CC=C1N(CC3=CC=CC=C3)B(C4=C5C=CC=C4)C(C(C6=CC=CC=C6)=C5C7=CC=CC=C7)=C2
126,126,CCCCN1C2=CC=CC=C2C=C(C(C3=CC=CC=C3)=C4C5=CC=CC=C5)B1C6=C4C=CC=C6
127,127,CC1=CC=C(C=C(C(C2=CC=CC=C2)=C3C4=CC=CC=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=C1
128,128,CC1=CC=C(C=C(C(C2=CC=C(OC)C=C2)=C3C4=CC=C(OC)C=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=C1
129,129,FC1=C(C=C(C(C2=CC=CC=C2)=C3C4=CC=CC=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=CC=C1
130,130,C12=CC=CC=C1NB(C3=C4C=CS3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=C2
131,131,F[B-]1(F)N2C=CC=CC2=NC2=[N+]1C=CC=C2
132,132,F[B-]([N+]1=CC=CC1=C2)(F)N3C2=CC=C3
133,133,F[B-](N1C2=CC=C1)(F)N3C(C2=[NH2+])=CC=C3
134,134,F[B-]([N+]1=CC=CC1=C2N)(F)N3C2=CC=C3
135,135,F[B-]([N+]1=CC=CC1=C2NC)(F)N3C2=CC=C3
136,136,F[B-]([N+]1=CC=CC1=C2NCC#C)(F)N3C2=CC=C3
137,137,F[B-]([N+]1=CC=CC1=C2NCC=C)(F)N3C2=CC=C3
138,138,F[B-]([N+]1=CC=CC1=C2N(C)C)(F)N3C2=CC=C3
139,139,CC1=CC(C)=CC(C)=C1B(N2)C3=CC=C4B(C5=C(C)C=C(C)C=C5C)NC6=C(N34)C2=CC=C6
140,140,C12=CC=CC3=C1N4C(B(C5=CC=CC=C5)N2)=CC=C4B(C6=CC=CC=C6)N3
141,141,CB1NC2=C(N3C(B(C)N4)=CC=C13)C4=CC=C2
142,142,C12=CC=CC3=C1N4C(BN2)=CC=C4BN3
143,143,CCCCC1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1
144,144,CCCCB1C=CC2=CC3=CC4=CC=CC=C4C=C3C=C2N1
145,145,C1(C=CC=C2)=C2C=C(C=CC=C3)C3=C1
146,146,C1(C=CC=C2)=C2C=C(C=CBN3)C3=C1
147,147,C1(C=CBN2)=C2C=C(C=CBN3)C3=C1
148,148,C1(C=CC=C2)=C2C(C=CC=C3)=C3C=C1
149,149,C1(NBC=C2)=C2C(C=CC=C3)=C3C=C1
150,150,C1(NB(C2=CC=CC=C2)C=C3)=C3C(C=CC=C4)=C4C=C1
151,151,C1(C=CBN2)=C2C(C=CC=C3)=C3C=C1
152,152,C1(C=CB(C2=CC=CC=C2)N3)=C3C(C=CC=C4)=C4C=C1
153,153,N12C=CC=CB1C=CC3=C2C=CC=C3
154,154,N12C=CC=CB1C=CC3=C2C=C(C=CC=C4)C4=C3
155,155,N12C=CC3=C(C=C(C=CC=C4)C4=C3)B1C=CC5=C2C=CC=C5
156,156,N12C=CC3=C(C=C(C=CC=C4)C4=C3)B1C=CC5=C2C=C(C=CC=C6)C6=C5
157,157,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CC3=CC=CC=C3)=O)C=C2
158,158,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCC(OC)=O)=O)C=C2
159,159,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=CC=C3F)=O)C=C2
160,160,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C([N+]([O-])=O)C=C3)=O)C=C2
161,161,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCCCC)=O)C=C2
162,162,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C=C)=O)C=C2
163,163,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(COC)=O)C=C2
164,164,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CC)=O)C=C2
165,165,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3CCC3)=O)C=C2
166,166,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(C)=CC=C3F)=O)C=C2
167,167,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(Cl)=CC=C3F)=O)C=C2
168,168,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(NC(C)=O)C=C3)=O)C=C2
169,169,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(F)=CC=C3)=O)C=C2
170,170,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(I)=CC=C3F)=O)C=C2
171,171,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC([N+]([O-])=O)=CC=C3F)=O)C=C2
172,172,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(F)=CC(C(F)(F)F)=C3)=O)C=C2
173,173,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=C(Br)C=C3)=O)C=C2
174,174,O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=CC(F)=C3)=O)C=C2
